Case ID,Activity,Start Timestamp,Complete Timestamp,Resource,Role
1,Create Purchase Requisition,2010-12-31 23:00:00.000,2010-12-31 23:37:00.000,Kim Passa,Requester
1,Create Request for Quotation Requester,2011-01-01 04:37:00.000,2011-01-01 04:45:00.000,Kim Passa,Requester
1,Analyze Request for Quotation,2011-01-01 05:41:00.000,2011-01-01 05:55:00.000,Karel de Groot,Purchasing Agent
1,Send Request for Quotation to Supplier,2011-01-01 10:43:00.000,2011-01-01 11:09:00.000,Karel de Groot,Purchasing Agent
1,Create Quotation comparison Map,2011-01-01 11:32:00.000,2011-01-01 15:03:00.000,Magdalena Predutta,Purchasing Agent
1,Analyze Quotation comparison Map,2011-01-01 21:44:00.000,2011-01-01 22:13:00.000,Immanuel Karagianni,Requester
1,Choose best option,2011-01-01 22:13:00.000,2011-01-01 22:13:00.000,Tesca Lobes,Requester
1,Settle conditions with supplier,2011-01-02 00:22:00.000,2011-01-02 08:20:00.000,Francois de Perrier,Purchasing Agent
1,Create Purchase Order,2011-01-02 08:58:00.000,2011-01-02 09:10:00.000,Karel de Groot,Purchasing Agent
1,Confirm Purchase Order,2011-01-02 13:09:00.000,2011-01-02 13:43:00.000,Sean Manney,Supplier
1,Deliver Goods Services,2011-01-02 19:49:00.000,2011-01-03 02:37:00.000,Sean Manney,Supplier
1,Release Purchase Order,2011-01-03 10:20:00.000,2011-01-03 10:21:00.000,Elvira Lores,Requester
1,Approve Purchase Order for payment,2011-01-03 18:09:00.000,2011-01-03 18:10:00.000,Karel de Groot,Purchasing Agent
1,Send invoice,2011-01-03 23:54:00.000,2011-01-03 23:54:00.000,Kiu Kan,Supplier
1,Release Supplier's Invoice,2011-01-04 14:08:00.000,2011-01-04 14:13:00.000,Karalda Nimwada,Financial Manager
1,Authorize Supplier's Invoice payment,2011-01-04 14:13:00.000,2011-01-04 14:13:00.000,Karalda Nimwada,Financial Manager
1,Pay invoice,2011-01-04 14:22:00.000,2011-01-04 14:31:00.000,Pedro Alvares,Financial Manager
4,Create Purchase Requisition,2011-01-01 07:39:00.000,2011-01-01 08:00:00.000,Fjodor Kowalski,Requester
4,Analyze Purchase Requisition,2011-01-01 17:45:00.000,2011-01-01 17:51:00.000,Maris Freeman,Requester Manager
